base_obj_Count,base_features_Count,base_persent_Categorial_features,base_class_Count,base_all_percent_of_nans,base_target_type,cat_meta_categCount_min,cat_meta_categCount_max,cat_meta_categCount_mean,cat_meta_entropy_min,cat_meta_entropy_max,cat_meta_entropy_mean,cat_meta_percent_nans_min,cat_meta_percent_nans_max,cat_meta_percent_nans_mean,disc_meta_min_min,disc_meta_min_max,disc_meta_min_mean,disc_meta_max_min,disc_meta_max_max,disc_meta_max_mean,disc_meta_mean_min,disc_meta_mean_max,disc_meta_mean_mean,disc_meta_variation_min,disc_meta_variation_max,disc_meta_variation_mean,disc_meta_skew_min,disc_meta_skew_max,disc_meta_skew_mean,disc_meta_kurtosis_min,disc_meta_kurtosis_max,disc_meta_kurtosis_mean,disc_meta_percent_of_nans_min,disc_meta_percent_of_nans_max,disc_meta_percent_of_nans_mean,model_min,model_max,model_kurtosis,model_variation,RF,SGD,kNN
1000,10,0.0,4,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,1.0,1.0,1.0,2.0,4.0,3.1,1.46,2.35,2.04,0.34,0.47,0.39,-0.34,0.31,0.01,-1.97,-1.08,-1.33,0.0,0.0,0.0,-0.14,0.04,1.46,-2.44,0.9285714285714285,0.0,1.0
1000,4,0.0,5,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,4.0,4.0,4.0,1.72,2.13,1.95,0.67,0.79,0.71,-0.15,0.23,0.03,-1.24,-1.08,-1.16,0.0,0.0,0.0,-0.18,0.07,-1.3,-1.37,0.9047619047619047,0.0,1.0
1000,4,0.0,9,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,13.0,14.0,13.75,6.37,7.78,6.86,0.53,0.72,0.6,-0.34,0.28,0.07,-1.32,-0.87,-1.1,0.0,0.0,0.0,-0.68,0.01,-1.69,-0.99,0.5999999999999998,0.0,1.0
488,4,0.0,9,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,2.0,1.0,8.0,9.0,8.5,5.08,5.61,5.39,0.17,0.3,0.24,-0.46,-0.15,-0.3,-0.21,0.53,0.09,0.0,0.0,0.0,-0.3,0.03,-0.85,-1.28,1.0,0.0,0.5333333333333332
145,86,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,1.0,0.2,0.01,1973866.88,29961.84,0.0,76249.59,1410.46,0.51,8.46,1.49,-1.1,8.34,2.7,-0.83,67.51,12.66,0.0,0.0,0.0,-0.05,0.03,1.26,-5.98,1.0,0.0,1.0
203,16,0.81,11,0.0,0,0,121,6.36,0.78,4.33,2.34,0.0,0.0,0.0,0.5,101.0,34.17,5.0,920.0,441.67,2.99,467.22,160.6,0.46,2.94,1.32,-0.07,8.63,2.95,-1.36,87.85,28.4,0.0,0.0,0.0,-4.1,1.3,21.27,-8.2,1.0,0.0,0.8375
203,16,0.81,11,0.0,0,0,121,6.36,0.78,4.33,2.34,0.0,0.0,0.0,0.5,101.0,34.17,5.0,920.0,441.67,2.99,467.22,160.6,0.46,2.94,1.32,-0.07,8.63,2.95,-1.36,87.85,28.4,0.0,0.0,0.0,-1.86,3.32,16.04,-35.51,1.0,0.0,0.7049180327868853
1458,37,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,2.0,0.22,0.67,1401719.5,41034.64,0.07,19505.52,583.46,0.4,3.63,1.67,-0.46,25.46,6.44,-1.51,768.99,104.72,0.0,0.0,0.0,-0.09,0.12,1.07,21.16,1.0,0.2857142857142857,0.0
1458,37,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,2.0,0.22,0.67,1401719.5,41034.64,0.07,19505.52,583.46,0.4,3.63,1.67,-0.46,25.46,6.44,-1.51,768.99,104.72,0.0,0.0,0.0,-0.09,0.12,0.83,21.42,1.0,0.3333333333333333,0.0
161,39,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,3.0,0.39,0.67,991629.56,27278.93,0.11,54688.74,1526.55,0.43,2.65,1.35,-1.33,4.36,2.47,-1.15,20.34,8.86,0.0,0.0,0.0,-0.05,0.14,2.92,4.96,1.0,0.0,0.2999999999999992
89,8,0.12,2,0.0,-1000,0,40,22.25,1.06,1.06,1.06,0.0,0.0,0.0,0.0,1.0,0.43,1.0,5.0,2.57,0.02,1.62,0.71,0.49,6.6,2.1,1.03,6.44,2.57,0.07,39.52,8.11,0.0,0.0,0.0,-0.12,0.07,2.85,6.69,0.30769230769230793,1.0,0.0
76,14,0.43,7,0.0037593984962406013,0,0,43,5.85,1.28,1.94,1.7,0.0,0.0,0.0,0.0,101.0,12.94,5.0,920.0,191.5,1.95,344.28,48.65,0.56,2.76,1.19,0.44,4.57,1.97,-1.25,22.41,5.25,0.0,2.0,0.5,-0.1,0.28,3.3,6.34,1.0,0.5238095238095238,0.0
75,14,0.0,72,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-8.0,1.0,-0.64,5.0,85.0,27.71,0.73,11.47,3.26,0.19,2.89,1.8,-0.05,6.66,2.73,2.35,48.99,10.66,0.0,0.0,0.0,-5.99,7.0,-1.38,8.37,1.0,0.0,0.0
121,29,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,4.0,0.98,0.4,40333.33,1552.03,0.07,2861.8,119.61,0.33,5.01,1.39,0.0,6.41,2.22,-1.13,45.42,7.69,0.0,0.0,0.0,-0.03,0.05,0.03,7.34,1.0,0.0,0.0
63,29,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,43.5,4.33,0.67,390311.62,14640.9,0.13,34858.17,1335.1,0.57,2.47,1.38,-0.14,5.04,2.46,-0.64,30.18,8.01,0.0,0.0,0.0,-0.07,0.03,1.4,-3.31,1.0,0.0,0.8414634146341462
107,29,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,44.0,4.09,0.26,339100.0,12769.06,0.1,15184.85,594.81,0.38,5.35,1.53,-0.44,6.69,3.31,-0.19,44.18,17.47,0.0,0.0,0.0,-0.04,0.08,0.6,4.3,1.0,0.0,0.0
36,29,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,43.5,4.53,0.57,285430.75,10752.3,0.14,30280.89,1162.29,0.51,2.4,1.22,0.21,3.65,2.1,-0.54,14.91,5.64,0.0,0.0,0.0,-0.04,0.07,-0.36,2.74,1.0,0.0,0.2666666666666668
522,21,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,1.0,0.38,2.0,2147483.75,111741.91,0.19,18542.99,977.89,0.69,6.9,2.62,1.04,16.74,8.93,1.96,318.18,128.85,0.0,0.0,0.0,-0.1,0.09,0.89,3.08,1.0,1.0,0.0
101,29,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,4.0,0.84,0.38,18666.67,1315.42,0.2,2561.31,119.26,0.4,7.05,2.03,0.26,6.94,2.74,-0.39,46.3,11.84,0.0,0.0,0.0,-0.05,0.07,-0.01,5.06,0.0,1.0,1.0
458,39,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,2.0,0.29,0.67,582830.38,16179.2,0.1,13728.24,395.49,0.14,5.13,1.62,-2.01,10.0,3.09,-1.5,134.13,18.71,0.0,0.0,0.0,-0.07,0.08,4.91,4.83,0.0,1.0,0.75
145,86,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,1.0,0.2,0.01,1973866.88,29961.84,0.0,76249.59,1410.46,0.51,8.46,1.49,-1.1,8.34,2.7,-0.83,67.51,12.66,0.0,0.0,0.0,-0.11,0.09,0.89,-17.79,0.791666666666667,0.0,1.0
2109,21,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,1.0,0.24,2.0,324803.5,16869.35,0.09,5242.39,285.1,0.75,5.3,1.93,1.14,8.78,4.2,1.24,102.83,31.78,0.0,0.0,0.0,-0.05,0.09,0.02,4.65,1.0,0.6666666666666654,0.0
1109,21,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,1.0,0.33,2.0,4279633.0,216793.88,0.13,28822.88,1501.0,0.61,5.92,2.11,2.17,18.53,8.0,13.66,408.63,115.52,0.0,0.0,0.0,-0.03,0.06,0.91,2.59,1.0,0.0,1.0
145,86,0.0,24,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,1.0,0.2,0.01,1973866.88,29961.84,0.0,76249.59,1410.46,0.51,8.46,1.49,-1.1,8.34,2.7,-0.83,67.51,12.66,0.0,0.0,0.0,-1.07,1.33,1.03,-86.35,0.8518518518518519,0.0,1.0
403,37,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,17.41,1.87,0.67,194481.83,5807.05,0.05,7985.33,251.89,0.3,5.17,1.27,-1.27,7.27,2.51,-1.52,56.43,11.49,0.0,0.0,0.0,-0.03,0.06,2.33,4.86,0.0,1.0,0.0
31,30,0.93,31,0.002150537634408602,0,0,30,6.2,0.14,1.56,1.09,0.0,0.0,0.0,0.9,1308.08,654.49,155.2,53995.0,27075.1,39.36,16141.88,8090.62,0.84,0.84,0.84,1.33,1.33,1.33,1.21,1.21,1.21,0.0,2.0,1.0,-67.96,149.52,4.95,81.35,0.0,0.0,0.0
31,30,0.93,31,0.002150537634408602,0,0,30,6.2,0.14,1.56,1.09,0.0,0.0,0.0,0.9,1308.08,654.49,155.2,53995.0,27075.1,39.36,16141.88,8090.62,0.84,0.84,0.84,1.33,1.33,1.33,1.21,1.21,1.21,0.0,2.0,1.0,-67.96,149.52,4.94,81.35,0.0,0.0,0.0
81,11,0.0,3,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-1.0,546.0,71.27,4.0,23940.0,2520.64,2.19,5046.31,555.93,0.01,0.87,0.59,-0.44,2.24,0.88,-1.2,6.86,1.93,0.0,0.0,0.0,-0.3,0.21,0.96,4.25,1.0,0.0,0.26315789473684215
130,8,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,15.0,6.0,2.0,5408.0,2120.38,1.46,902.87,357.79,0.34,1.0,0.82,0.15,2.03,1.51,-1.98,6.58,3.31,0.0,0.0,0.0,-0.01,0.06,-1.1,1.01,0.0,1.0,1.0
93,23,0.87,74,0.0,0,0,80,16.76,0.4,2.08,1.1,0.0,0.0,0.0,0.9,1971.0,657.63,101.0,1987.0,1022.67,47.75,1980.83,707.53,0.0,1.41,0.67,-0.1,3.66,1.23,-1.05,19.39,5.97,0.0,0.0,0.0,-4.57,5.58,2.16,23.14,0.0,0.0,1.0
47,13,0.0,42,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,934.0,163.32,1.0,1071.0,308.79,0.34,983.02,218.24,0.03,1.39,0.42,-0.39,1.92,0.74,-1.55,3.35,0.29,0.0,0.0,0.0,-6.09,5.28,-0.85,5.77,0.0,0.0,1.0
53,11,0.09,2,0.0,-1000,0,1,0.98,3.97,3.97,3.97,0.0,0.0,0.0,0.04,4.0,1.18,0.92,152.4,48.3,0.28,37.53,13.17,0.19,1.32,0.75,-0.25,2.66,1.04,-1.2,6.46,1.16,0.0,0.0,0.0,-0.0,0.0,4.79,68.72,1.0,0.0,1.0
59,16,0.06,30,0.0,0,0,1,0.98,4.08,4.08,4.08,0.0,0.0,0.0,0.8,124833.0,10201.26,3.53,8274961.0,555692.69,3.25,1438037.0,98435.23,0.06,2.39,0.59,-1.64,5.41,1.24,-0.81,31.23,5.69,0.0,0.0,0.0,-1.97,1.96,-0.33,41.18,1.0,0.0,1.0
59,16,0.06,30,0.0,0,0,1,0.98,4.08,4.08,4.08,0.0,0.0,0.0,0.8,124833.0,10201.26,3.53,8274961.0,555692.69,3.25,1438037.0,98435.23,0.06,2.39,0.59,-1.64,5.41,1.24,-0.81,31.23,5.69,0.0,0.0,0.0,-1.97,1.96,-0.33,41.19,0.0,0.0,1.0
40,6,0.17,40,0.0125,0,0,20,13.33,0.69,0.69,0.69,0.0,0.0,0.0,62.0,106.0,77.6,77.0,192.0,142.6,68.53,151.05,111.28,0.2,0.21,0.21,-0.12,0.07,-0.05,-1.74,-1.29,-1.46,0.0,2.0,0.6,-23153.89,33311.54,-0.91,5.34,0.0,0.0,0.0
39,4,0.5,19,0.0,0,0,28,1.81,0.59,3.66,2.13,0.0,0.0,0.0,0.3,13.0,6.65,17.1,28389.0,14203.05,3.34,7882.56,3942.95,1.01,1.02,1.01,0.91,2.04,1.48,-0.28,4.82,2.27,0.0,0.0,0.0,-1.66,1.18,-0.2,-68.15,0.0,0.0,0.0
77,15,0.2,77,0.0,0,0,74,2.6,0.16,4.34,2.07,0.0,0.0,0.0,-1.0,50.0,4.15,1.5,330.0,81.58,0.82,159.68,35.18,0.15,1.1,0.54,-0.56,2.42,0.53,-1.42,8.02,2.0,0.0,0.0,0.0,-3.1,2.23,3.71,-23.76,1.0,0.0,0.9869565217391304
50,5,0.2,39,0.0,0,0,1,0.98,3.91,3.91,3.91,0.0,0.0,0.0,0.0,55.9,35.86,1.0,96.5,60.76,0.24,73.91,45.94,0.11,1.78,0.54,0.41,1.22,0.77,-0.54,1.35,-0.01,0.0,0.0,0.0,-2.3,3.23,-0.84,-38.52,1.0,0.0,0.0
200,20,0.0,3,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,39.0,5.5,1.0,929.0,75.05,0.2,444.82,37.59,0.21,2.0,0.39,-1.06,4.13,1.75,-1.98,15.05,3.9,0.0,0.0,0.0,-0.06,0.17,4.68,4.21,0.0,1.0,1.0
48,7,0.0,48,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-7.4,183.0,37.49,1.0,454.0,124.16,0.5,286.65,69.45,0.08,1.0,0.47,-0.35,2.27,0.6,-2.0,9.85,1.22,0.0,0.0,0.0,-0.97,11.17,1.41,1.68,0.0,0.0,0.0
150,4,0.0,5,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,44.0,120.0,91.0,60.0,148.0,116.75,50.93,133.97,103.48,0.04,0.06,0.05,-0.18,0.14,0.0,-0.17,0.26,0.04,0.0,0.0,0.0,-0.48,0.4,-1.38,-18.17,0.7142857142857143,0.0,1.0
625,4,0.0,3,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,1.0,1.0,1.0,5.0,5.0,5.0,3.0,3.0,3.0,0.47,0.47,0.47,0.0,0.0,0.0,-1.3,-1.3,-1.3,0.0,0.0,0.0,-0.19,0.2,-2.0,35.42,1.0,0.0,0.9868421052631579
478,10,0.5,4,0.0,0,0,442,99.58,0.27,2.13,1.04,0.0,0.0,0.0,1.0,7.0,2.8,4.0,13.0,6.2,2.09,10.42,4.47,0.09,0.51,0.33,-0.24,0.48,0.1,-1.34,-0.55,-1.02,0.0,0.0,0.0,-0.76,0.08,5.75,-2.8,1.0,0.0,0.1506849315068493
151,6,0.67,3,0.0,0,0,128,10.24,0.43,3.0,1.62,0.0,0.0,0.0,1.0,3.0,2.0,66.0,151.0,108.5,27.87,76.0,51.93,0.46,0.57,0.52,0.0,0.49,0.25,-1.2,-0.38,-0.79,0.0,0.0,0.0,-0.23,0.24,0.83,-41.44,1.0,0.0,0.6170212765957448
81,12,0.0,3,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-1.0,546.0,65.42,4.0,23940.0,2317.33,2.19,5046.31,513.02,0.01,0.87,0.59,-0.44,2.24,0.8,-1.2,6.86,1.67,0.0,0.0,0.0,-0.3,0.19,2.08,3.92,1.0,1.0,0.0
294,11,0.27,2,0.0,-1000,0,267,98.0,0.31,0.69,0.53,0.0,0.0,0.0,0.0,7.0,2.03,1.75,294.0,44.47,0.23,147.5,22.3,0.2,1.91,0.52,0.0,1.61,0.91,-1.2,4.42,0.83,0.0,0.0,0.0,-0.22,0.22,5.49,372.18,1.0,0.0,0.3749999999999999
320,8,0.12,2,0.0,-1000,0,316,80.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,1.0,0.43,1.0,23.0,6.43,0.01,2.07,1.01,0.45,10.91,2.45,0.71,12.05,3.39,-0.82,155.23,28.74,0.0,0.0,0.0,-0.11,0.08,-0.03,-20.62,1.0,0.0,0.7599999999999998
320,8,0.12,2,0.0,-1000,0,316,80.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,1.0,0.43,1.0,23.0,6.43,0.01,2.07,1.01,0.45,10.91,2.45,0.71,12.05,3.39,-0.82,155.23,28.74,0.0,0.0,0.0,-0.12,0.08,0.05,-6.94,1.0,0.0,0.9000000000000001
442,22,0.09,442,0.0,0,0,236,147.33,0.69,0.69,0.69,0.0,0.0,0.0,0.0,33.0,7.54,6.92,87.0,14.08,4.38,64.39,10.43,0.03,0.69,0.1,-0.98,4.15,0.79,-0.47,25.26,2.8,0.0,0.0,0.0,-0.03,0.37,18.33,4.56,1.0,0.0,0.9995866440086345
286,9,1.0,2,0.0,-1000,0,222,49.5,0.55,2.1,1.06,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.07,0.05,1.45,-23.99,0.8297872340425533,0.0,1.0
226,22,0.09,226,0.0,0,0,191,75.33,0.43,0.69,0.56,0.0,0.0,0.0,0.61,30.0,6.51,5.14,76.0,12.17,3.8,59.58,9.27,0.02,0.4,0.11,-0.89,5.49,0.89,-0.39,37.89,3.49,0.0,0.0,0.0,-0.06,0.56,17.28,4.01,1.0,0.0,0.9981908793009283
24,4,1.0,3,0.0,0,0,12,7.38,0.69,1.1,0.79,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.26,0.26,1.51,inf,1.0,0.0,1.0
209,7,0.14,104,0.0,0,0,32,6.74,3.06,3.06,3.06,0.0,0.0,0.0,0.0,64.0,24.17,52.0,64000.0,16330.67,4.7,11796.15,2486.02,0.99,1.61,1.35,2.13,4.0,3.09,5.73,21.91,12.86,0.0,0.0,0.0,-13.81,13.21,3.72,24.23,0.0,0.0,0.0
209,7,0.14,104,0.0,0,0,32,6.74,3.06,3.06,3.06,0.0,0.0,0.0,0.0,64.0,24.17,52.0,64000.0,16330.67,4.7,11796.15,2486.02,0.99,1.61,1.35,2.13,4.0,3.09,5.73,21.91,12.86,0.0,0.0,0.0,-13.92,13.41,3.77,24.75,1.0,0.0,1.0
209,7,0.14,104,0.0,0,0,32,6.74,3.06,3.06,3.06,0.0,0.0,0.0,0.0,64.0,24.17,52.0,64000.0,16330.67,4.7,11796.15,2486.02,0.99,1.61,1.35,2.13,4.0,3.09,5.73,21.91,12.86,0.0,0.0,0.0,-13.85,12.97,3.71,23.89,1.0,0.0,1.0
209,7,0.14,104,0.0,0,0,32,6.74,3.06,3.06,3.06,0.0,0.0,0.0,0.0,64.0,24.17,52.0,64000.0,16330.67,4.7,11796.15,2486.02,0.99,1.61,1.35,2.13,4.0,3.09,5.73,21.91,12.86,0.0,0.0,0.0,-13.85,12.69,3.66,24.82,1.0,0.0,0.33333333333333337
